Datetime,Open,High,Low,Close,Adj Close,Volume
2022-08-01 09:30:00-04:00,277.82000732421875,277.9399108886719,277.07000732421875,277.67999267578125,277.67999267578125,731044
2022-08-01 09:31:00-04:00,277.5899963378906,277.6499938964844,276.74310302734375,277.2799987792969,277.2799987792969,185477
2022-08-01 09:32:00-04:00,277.3399963378906,277.6650085449219,277.2200927734375,277.4700012207031,277.4700012207031,100953
2022-08-01 09:33:00-04:00,277.44000244140625,278.25,277.26141357421875,278.0,278.0,112216
2022-08-01 09:34:00-04:00,277.5,277.739990234375,277.43670654296875,277.6400146484375,277.6400146484375,106432
2022-08-01 09:35:00-04:00,278.0,278.0,277.95001220703125,277.9599914550781,277.9599914550781,96234
2022-08-01 09:36:00-04:00,278.5,278.5,278.0199890136719,278.0899963378906,278.0899963378906,136709
2022-08-01 09:37:00-04:00,277.75,277.75,277.75,277.75,277.75,66269
2022-08-01 09:38:00-04:00,278.25,278.2699890136719,277.9549865722656,278.0199890136719,278.0199890136719,144420
2022-08-01 09:39:00-04:00,278.0,278.5,277.9800109863281,278.2900085449219,278.2900085449219,61373
2022-08-01 09:40:00-04:00,278.5,278.80999755859375,278.4700012207031,278.7500915527344,278.7500915527344,67032
2022-08-01 09:41:00-04:00,278.75,278.8999938964844,278.7362976074219,278.760009765625,278.760009765625,64601
2022-08-01 09:42:00-04:00,278.5,278.5199890136719,278.2839050292969,278.3009033203125,278.3009033203125,82505
2022-08-01 09:43:00-04:00,278.2814025878906,278.30999755859375,278.2300109863281,278.2900085449219,278.2900085449219,54698
2022-08-01 09:44:00-04:00,278.5,278.510009765625,278.239990234375,278.239990234375,278.239990234375,76301
2022-08-01 09:45:00-04:00,278.3599853515625,278.3900146484375,278.30999755859375,278.30999755859375,278.30999755859375,83511
2022-08-01 09:46:00-04:00,278.375,278.5799865722656,278.2650146484375,278.5799865722656,278.5799865722656,72681
2022-08-01 09:47:00-04:00,278.375,278.3900146484375,278.30999755859375,278.30999755859375,278.30999755859375,51482
2022-08-01 09:48:00-04:00,278.42999267578125,278.489990234375,278.42999267578125,278.489990234375,278.489990234375,48658
2022-08-01 09:49:00-04:00,278.468994140625,278.5,278.30999755859375,278.3500061035156,278.3500061035156,53786
2022-08-01 09:50:00-04:00,278.0,278.0,277.84991455078125,277.84991455078125,277.84991455078125,72098
